SNP_ID	Chromosome	Position
abph1.20	2	27403404
abph1.22	2	27403892
ae1.3	5	167889790
ae1.4	5	167889682
ae1.5	5	167889821
an1.4	1	240498509
ba1.6	3	181362952
ba1.9	3	181362666
bt2.5	4	66290049
bt2.7	4	66290994
bt2.8	4	66290755
Fea2.1	4	132735271
Fea2.5	4	132734849
id1.3	1	238902078
lg2.11	3	175051864
lg2.2	3	175051298
pbf1.1	2	150712539
pbf1.2	2	150712441
pbf1.3	2	150711736
pbf1.5	2	150711463
pbf1.6	2	150710621
pbf1.7	2	150709947
pbf1.8	2	150709920
PZA00003.11	6	121839592
PZA00004.2	5	13542371
PZA00005.8	4	243003350
PZA00005.9	4	243003494
PZA00006.13	6	85125129
PZA00006.14	6	85125156
PZA00008.1	2	11924901
PZA00010.5	1	119703101
PZA00013.10	1	263276247
PZA00013.11	1	263276005
PZA00013.9	1	263276335
PZA00015.4	9	109909675
PZA00017.1	1	35620725
PZA00018.5	8	155326020
PZA00029.11	2	144528591
PZA00029.12	2	144528504
PZA00030.11	multiple	
PZA00031.5	5	123268237
PZA00041.3	6	122849505
PZA00042.2	6	157129313
PZA00042.5	6	157129197
PZA00043.7	7	167218288
PZA00045.1	8	116787172
PZA00047.2	3	203908761
PZA00049.12	8	132749967
PZA00050.9	1	295459549
PZA00051.2	4	245051649
PZA00058.5	8	5966698
PZA00058.6	8	5966738
PZA00060.2	9	124619424
PZA00061.1	2	33824834
PZA00065.2	unknown	unknown
PZA00069.4	5	214424975
PZA00070.5	9	85334547
PZA00078.2	4	18502179
PZA00079.1	10	18903460
PZA00081.17	1	45675053
PZA00084.2	7	43948264
PZA00084.3	7	43948320
PZA00086.8	unknown	unknown
PZA00088.3	3	228614270
PZA00090.2	8	137480801
PZA00092.1	4	113503659
PZA00092.5	4	113503635
PZA00093.2	8	123273467
PZA00096.26	7	144013500
PZA00097.13	8	144652871
PZA00098.14	1	161472433
PZA00100.10	3	5480277
PZA00100.12	3	5479991
PZA00100.14	3	5480312
PZA00100.9	3	5479958
PZA00103.20	unknown	unknown
PZA00106.9	1	10069039
PZA00107.18	3	180341137
PZA00108.12	2	13779884
PZA00108.14	2	13779694
PZA00108.15	2	13779745
PZA00109.3	3	82173052
PZA00109.5	3	82173017
PZA00111.2	7	133825965
PZA00111.4	7	133825665
PZA00111.5	7	133825912
PZA00111.6	7	133825909
PZA00111.8	7	133825812
PZA00114.3	3	142431173
PZA00116.2	9	125052222
PZA00119.4	1	83595286
PZA00120.4	8	147049220
PZA00123.1	9	149398788
PZA00125.2	4	36047409
PZA00131.14	1	203385274
PZA00132.17	7	33979080
PZA00132.18	7	33979181
PZA00132.3	7	33979012
PZA00135.6	10	109542101
PZA00137.2	1	247821390
PZA00139.14	4	20065054
PZA00140.10	2	140264946
PZA00140.6	2	140264872
PZA00140.9	2	140264993
PZA00142.6	8	142887237
PZA00148.2	unknown	unknown
PZA00153.3	unknown	unknown
PZA00153.6	unknown	unknown
PZA00163.4	2	220264713
PZA00164.1	2	217788232
PZA00164.2	2	217788271
PZA00164.3	2	217788160
PZA00166.1	3	171935933
PZA00166.3	3	171935683
PZA00170.1	2	69623218
PZA00170.3	2	69623275
PZA00170.4	2	69623323
PZA00174.1	10	66408538
PZA00174.2	10	66408674
PZA00175.2	1	8510027
PZA00176.8	2	10533421
PZA00177.4	8	155435599
