SNP_ID	cdv_marker_id	Chromosome	Position	alt_pos	mult_positions	amplicon	cdv_map_feature.name	gene	candidate/random	Genaissance_daa_id	Sequenom_daa_id	count_amplicons	count_cmf	count_gene
abph1.20	5976	2	27403404			abph1	AB042260	abph1	candidate	8393	10474	1	1	1
abph1.22	5978	2	27403892			abph1	AB042260	abph1	candidate	8394	10475	0	0	0
ae1.3	6605	5	167889790			ae1	ae1	ae1	candidate	8395	10477	1	1	1
ae1.4	6606	5	167889682			ae1	ae1	ae1	candidate	8396	10478	0	0	0
ae1.5	6607	5	167889821			ae1	ae1	ae1	candidate	8397	10479	0	0	0
an1.4	5982	1	240498509			an1	an1	an1	candidate	8398	10481	1	1	1
ba1.6	3463	3	181362952			ba1	AY753892	ba1	candidate	8399	10482	1	0	1
ba1.9	3466	3	181362666			ba1	AY753892	ba1	candidate	8400	10483	0	0	0
bt2.5	5983	4	66290049			bt2	bt2	bt2	candidate	8401	10486	1	1	1
bt2.7	5985	4	66290994			bt2	bt2	bt2	candidate	8402	10487	0	0	0
bt2.8	5986	4	66290755			bt2	bt2	bt2	candidate	8403	10488	0	0	0
Fea2.1	5733	4	132735271			Fea2	fea2	fea2	candidate	8404	10489	1	1	1
Fea2.5	5737	4	132734849			Fea2	fea2	fea2	candidate	8405	10493	0	0	0
id1.3	3471	1	238902078			id1	id1	id1	candidate	8406	10495	1	1	1
lg2.11	3477	3	175051864			lg2	AY180106	lg2	candidate	8407	10496	1	1	1
lg2.2	3476	3	175051298			lg2	AY180106	lg2	candidate	8408	10497	0	0	0
pbf1.1	6609	2	150712539			pbf1	pbf1	pbf1	candidate	9833	10498	1	1	1
pbf1.2	6610	2	150712441			pbf1	pbf1	pbf1	candidate	8409	10499	0	0	0
pbf1.3	6611	2	150711736			pbf1	pbf1	pbf1	candidate	8410	10500	0	0	0
pbf1.5	6613	2	150711463			pbf1	pbf1	pbf1	candidate	8411	10501	0	0	0
pbf1.6	6614	2	150710621			pbf1	pbf1	pbf1	candidate	8412	10502	0	0	0
pbf1.7	6615	2	150709947			pbf1	pbf1	pbf1	candidate	8413	10503	0	0	0
pbf1.8	6616	2	150709920			pbf1	pbf1	pbf1	candidate	8414	10504	0	0	0
PZA00003.11	3603	6	121839592			PZA00003	AY106628	AY106628	random	7649	10505	1	1	1
PZA00004.2	3528	5	13542371			PZA00004	AY106625	AY106625	random	7650	10508	1	1	1
PZA00005.8	10816	4	243003350			PZA00005	AY106622	AY106622	random	9834	10509	1	1	1
PZA00005.9	10817	4	243003494			PZA00005	AY106622	AY106622	random	9835	10510	0	0	0
PZA00006.13	3606	6	85125129			PZA00006	AY106617	AY106617	random	7651	10511	1	1	1
PZA00006.14	10819	6	85125156			PZA00006	AY106617	AY106617	random	9836	10512	0	0	0
PZA00008.1	3609	2	11924901			PZA00008	AY106613	AY106613	random	7652	10514	1	1	1
